Speed,Theta 1,Theta 2,Theta 3,Theta 4,,
13.9,400.48,13.111,9798.6,8029.9,,old cost function with wrong time and with x1 only
10,2431.5,0.039489,35979,28003,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
13.9,1202.6,1.8599,34024,21290,,right time and x1 only
17,480.46,62.047,9798,11216,,right time and x1 only
11,190.25,51.831,25.157,27717,,
11,2390.9,3.0582,24417,29909,,
11,1135.8,11.379,8584,13938,,"x1 and x4, texit, 0.5 deviation penalty"
14,1017.8,69.716,5049.7,22242,,"x1 and x4, texit, 0.5 deviation penalty"
17,479.89,99.575,112.04,17971
