Speed,Theta 1,Theta 2,Theta 3,Theta 4,Theta 5,Theta 6,,Max of the six,,Normalized,,,,,
8,3861.3,14.623,659.42,24571,272.48,983.88,,24571,,0.157148671,0.000595132,0.026837329,1,0.011089496,0.040042326
9,4717.5,51.105,1460.1,29719,911.65,557.37,,29719,,0.158736835,0.001719607,0.049130186,1,0.030675662,0.018754669
10,2152.5,307.48,856.74,24433,164.12,825.42,,24433,,0.088098064,0.012584619,0.035064871,1,0.006717145,0.033782998
11,1976.3,115.08,28511,29945,717.11,165.49,,29945,,0.065997662,0.003843046,0.952112206,1,0.023947571,0.005526465
12,1858.4,142.45,4730.4,29992,539.75,713.32,,29992,,0.06196319,0.0047496,0.157722059,1,0.017996466,0.023783676
13,1813.4,6.8533,21045,29549,143.19,764.17,,29549,,0.061369251,0.00023193,0.712206843,1,0.004845849,0.025861112
14,546.53,66.193,29883,14605,996.22,923.68,,29883,,0.018288994,0.002215072,1,0.488739417,0.033337349,0.030909882
15,1946.4,9.6271,40413,29928,989.56,862.1,,40413,,0.04816272,0.000238218,1,0.740553782,0.02448618,0.021332245
16,1161.2,366.12,49731,21582,144.49,159.13,,49731,,0.023349621,0.007362008,1,0.433974784,0.002905431,0.003199815
17,757.99,102.37,27811,13571,709.13,847.74,,27811,,0.027255043,0.003680918,1,0.487972385,0.025498184,0.030482183
18,1535.2,97.926,39022,29979,516.04,92.202,,39022,,0.03934191,0.002509507,1,0.768258931,0.013224335,0.002362821
19,872.24,99.66,14324,12530,428.38,270.96,,14324,,0.060893605,0.006957554,1,0.874755655,0.029906451,0.018916504
20,1595.8,18.92,42618,29834,13.056,886.04,,42618,,0.037444272,0.000443944,1,0.70003285,0.000306349,0.020790276
21,2059.9,142.5,49180,29810,471.49,433.56,,49180,,0.041884913,0.002897519,1,0.606140708,0.009587027,0.008815779
22,2001,74.473,44219,27134,270.12,128.01,,44219,,0.045252041,0.001684186,1,0.613627626,0.006108686,0.002894909
23,1944.6,197.96,5406.8,29788,832.09,991.71,,29788,,0.065281321,0.006645629,0.181509333,1,0.027933732,0.033292265
24,2037.6,31.222,2349,28628,736.5,269.93,,28628,,0.071175073,0.001090611,0.082052536,1,0.025726561,0.009428881
25,2023.8,110.11,1682.1,28375,220.34,5.6142,,28375,,0.071323348,0.003880529,0.059281057,1,0.007765286,0.000197857
